C#4	8.13	8.44
C#3	8.16	11.89
C#4	8.59	8.9
G#4	9.11	9.42
C#4	9.57	9.88
G#4	9.57	9.88
C#4	10.06	10.37
A#4	10.09	10.4
G#4	11.07	11.37
G#4	11.96	12.26
G#3	12.17	12.48
F#4	12.57	12.9
F4	13.06	13.36
F4	13.55	13.85
G#4	13.97	14.28
D#4	14.06	14.37
G#3	14.16	14.46
D#4	14.55	14.86
C#4	15.04	15.35
C#4	16.02	16.33
G#4	16.02	16.33
C#3	16.14	16.45
G#4	16.54	16.85
F#4	17.06	17.37
G#4	17.49	17.8
F#4	17.55	17.86
G#4	17.95	18.25
F4	18.01	18.32
G#3	18.13	18.44
D#4	19.02	19.32
G#4	20.0	20.3
C#3	20.06	20.94
G#4	20.49	20.79
G#4	21.43	21.74
F#4	21.49	21.8
G#4	21.89	22.2
F4	21.98	22.29
G#3	22.11	22.41
F4	22.47	22.78
D#4	22.99	23.3
D#4	23.82	24.12
C#4	23.97	24.28
C#3	24.0	25.41
C#4	24.46	24.77
G#4	24.98	25.29
C#4	25.44	25.75
G#4	25.44	25.75
C#4	25.93	26.23
A#4	25.93	27.46
C#3	25.99	27.76
G#4	25.99	26.3
G#4	26.94	27.24
G#4	27.85	28.16
G#3	28.04	28.34
F#4	28.44	28.74
F4	28.92	29.23
F4	29.41	29.72
G#4	29.84	30.15
D#4	29.93	30.24
G#3	30.03	30.33
D#4	30.42	30.73
C#4	30.91	31.22
C#4	31.92	32.23
C#3	31.98	35.68
C#4	32.38	32.69
G#4	32.9	33.21
C#4	33.39	33.69
G#4	33.39	33.69
C#4	33.88	34.18
A#4	33.88	35.41
G#4	34.86	35.16
G#4	35.77	36.08
F#4	35.9	36.2
G#3	35.96	36.26
F4	36.84	38.59
G#4	37.79	38.1
D#4	37.85	38.16
G#3	37.94	38.25
D#4	38.34	38.65
C#4	38.83	39.14
C#4	39.81	40.12
G#4	39.84	40.15
C#3	39.93	40.24
G#4	40.33	40.64
F#4	40.85	41.16
G#4	41.28	41.58
F#4	41.34	41.64
G#4	41.74	42.04
G#3	41.92	42.23
F4	42.32	42.62
D#4	42.81	43.11
G#4	43.78	44.09
C#3	43.91	44.21
G#4	44.3	44.61
F#4	44.82	45.13
G#4	45.22	45.53
G#4	45.71	46.02
F4	45.77	46.08
G#3	45.89	46.2
D#4	46.78	47.09
C#3	47.79	49.2
C#4	47.79	48.1
C#4	48.25	48.55
G#4	48.77	49.07
G#4	49.23	49.53
C#4	49.26	49.56
C#4	49.72	50.02
A#4	49.75	50.05
C#3	49.78	51.55
G#4	49.78	50.08
G#4	50.73	51.03
G#4	51.61	51.92
F#4	51.77	52.07
G#3	51.83	52.13
F4	52.71	53.02
G#4	53.63	53.94
D#4	53.72	54.03
G#3	53.81	54.12
D#4	54.21	54.52
C#4	54.7	55.01
D#3	55.71	59.41
D#4	55.71	56.02
D#4	56.2	56.5
A#4	56.69	56.99
A#4	57.18	57.48
C5	57.67	57.97
A#4	58.16	58.46
A#4	58.68	58.98
A#3	59.72	60.02
G#4	60.14	60.45
A#3	60.54	60.85
G4	60.66	62.38
A#3	61.09	61.4
F4	61.64	61.95
A#3	61.67	61.98
F4	62.16	62.47
A#3	62.56	62.86
D#4	62.65	62.96
A#3	63.11	63.41
A#4	63.63	63.93
D#3	63.66	63.97
A#4	64.12	64.42
G#4	64.61	64.91
D#3	64.64	64.94
A#3	65.65	65.95
G4	66.14	66.44
A#3	66.5	66.81
F4	66.59	66.9
A#3	67.08	67.39
D#3	67.6	67.91
A#4	67.6	67.91
A#4	68.09	68.4
G#4	68.58	68.89
G4	69.59	69.9
A#3	69.62	69.93
A#3	70.45	70.75
F4	70.57	70.88
A#3	71.06	71.36
D#4	71.58	71.88
F4	72.01	72.31
D#4	72.07	72.37
A#4	72.56	72.86
A#4	73.05	73.35
C5	73.54	75.06
D#3	73.57	75.28
A#4	74.02	74.33
A#4	74.51	74.82
C4	75.49	75.8
G#4	75.52	75.83
A#3	75.55	75.86
G#4	76.01	76.32
A#3	76.41	76.72
A#3	76.99	77.3
F4	77.6	77.91
A#3	77.63	77.94
G4	78.15	78.46
F4	78.21	78.52
A#3	78.49	78.79
D#4	78.83	81.27
A#3	79.01	79.31
A#3	80.32	80.63
A#3	81.39	81.7
